"trial"	"deck"	"gain"	"loss"	"subjID"
1	3	50	0	130
2	3	60	0	130
3	3	40	-50	130
4	2	100	0	130
5	3	55	0	130
6	2	80	0	130
7	3	55	-50	130
8	3	45	0	130
9	2	110	0	130
10	1	100	0	130
11	2	120	0	130
12	1	120	0	130
13	2	90	0	130
14	2	100	0	130
15	2	90	0	130
16	2	120	0	130
17	2	110	-1250	130
18	1	80	-150	130
19	1	90	0	130
20	1	110	-300	130
21	1	100	0	130
22	3	50	-50	130
23	4	50	0	130
24	4	40	0	130
25	4	45	0	130
26	3	45	0	130
27	4	45	0	130
28	3	60	-50	130
29	1	80	-200	130
30	1	120	0	130
31	2	80	0	130
32	2	110	0	130
33	2	100	0	130
34	2	90	0	130
35	3	40	-50	130
36	3	55	0	130
37	3	55	-25	130
38	4	55	0	130
39	4	60	0	130
40	4	40	0	130
41	1	110	-250	130
42	1	90	-350	130
43	1	110	0	130
44	1	130	-350	130
45	1	90	0	130
46	1	100	-250	130
47	3	65	-75	130
48	3	45	0	130
49	2	130	-1500	130
50	3	70	-25	130
51	2	120	0	130
52	2	130	0	130
53	3	40	0	130
54	4	55	0	130
55	4	50	0	130
56	4	60	-250	130
57	3	50	-25	130
58	3	60	-75	130
59	3	70	0	130
60	3	40	-50	130
61	3	60	0	130
62	3	65	-25	130
63	2	110	0	130
64	3	55	0	130
65	3	80	-50	130
66	4	55	0	130
67	1	120	-200	130
68	3	40	-25	130
69	3	60	-50	130
70	3	55	0	130
71	3	65	-25	130
72	2	90	0	130
73	3	40	-75	130
74	2	100	0	130
75	2	120	0	130
76	3	80	-50	130
77	3	65	-25	130
78	3	75	0	130
79	3	55	-25	130
80	1	110	0	130
81	4	40	0	130
82	4	60	0	130
83	4	40	0	130
84	4	45	0	130
85	3	60	-25	130
86	2	120	-1750	130
87	3	70	-25	130
88	3	65	0	130
89	2	110	0	130
90	2	140	0	130
91	2	130	0	130
92	2	100	0	130
93	1	90	-300	130
94	1	130	-150	130
95	1	120	-250	130
96	1	100	0	130
97	2	110	0	130
98	2	120	0	130
99	1	120	-250	130
100	1	140	-300	130
1	2	100	0	135
2	2	80	0	135
3	2	110	0	135
4	2	120	0	135
5	2	90	0	135
6	2	100	0	135
7	2	90	0	135
8	2	120	0	135
9	2	110	-1250	135
10	3	50	0	135
11	2	80	0	135
12	2	110	0	135
13	2	100	0	135
14	3	60	0	135
15	2	90	0	135
16	2	130	-1500	135
17	3	40	-50	135
18	3	55	0	135
19	1	100	0	135
20	1	120	0	135
21	1	80	-150	135
22	1	90	0	135
23	1	110	-300	135
24	2	120	0	135
25	2	130	0	135
26	2	110	0	135
27	1	100	0	135
28	1	80	-200	135
29	2	90	0	135
30	3	55	-50	135
31	4	50	0	135
32	3	45	0	135
33	1	120	0	135
34	1	110	-250	135
35	2	100	0	135
36	1	90	-350	135
37	4	40	0	135
38	3	50	-50	135
39	2	120	0	135
40	2	120	-1750	135
41	2	110	0	135
42	2	140	0	135
43	2	130	0	135
44	2	100	0	135
45	2	110	0	135
46	2	120	0	135
47	2	120	0	135
48	2	140	0	135
49	2	110	0	135
50	1	110	0	135
51	1	130	-350	135
52	2	130	0	135
53	2	140	-2000	135
54	2	120	0	135
55	1	90	0	135
56	3	45	0	135
57	3	60	-50	135
58	2	110	0	135
59	2	130	0	135
60	2	150	0	135
61	3	40	-50	135
62	3	55	0	135
63	2	110	0	135
64	2	150	0	135
65	3	55	-25	135
66	3	65	-75	135
67	2	120	0	135
68	2	140	0	135
69	2	140	0	135
70	2	150	0	135
71	3	45	0	135
72	3	70	-25	135
73	3	40	0	135
74	3	50	-25	135
75	3	60	-75	135
76	2	130	0	135
77	2	120	0	135
78	2	140	0	135
79	2	160	-2250	135
80	3	70	0	135
81	2	120	0	135
82	2	160	0	135
83	2	130	0	135
84	2	150	0	135
85	3	40	-50	135
86	3	60	0	135
87	3	65	-25	135
88	3	55	0	135
89	3	80	-50	135
90	2	150	0	135
91	2	160	0	135
92	2	140	0	135
93	2	130	0	135
94	2	150	0	135
95	2	170	0	135
96	2	130	0	135
97	2	170	-2500	135
98	3	40	-25	135
99	2	140	0	135
100	2	160	0	135
1	1	100	0	142
2	4	50	0	142
3	1	120	0	142
4	2	100	0	142
5	1	80	-150	142
6	3	50	0	142
7	2	80	0	142
8	4	40	0	142
9	3	60	0	142
10	2	110	0	142
11	4	45	0	142
12	3	40	-50	142
13	2	120	0	142
14	3	55	0	142
15	2	90	0	142
16	3	55	-50	142
17	2	100	0	142
18	4	45	0	142
19	3	45	0	142
20	4	55	0	142
21	4	60	0	142
22	2	90	0	142
23	4	40	0	142
24	2	120	0	142
25	3	50	-50	142
26	1	90	0	142
27	4	55	0	142
28	2	110	-1250	142
29	3	45	0	142
30	4	50	0	142
31	2	80	0	142
32	3	60	-50	142
33	1	110	-300	142
34	2	110	0	142
35	3	40	-50	142
36	4	60	-250	142
37	2	100	0	142
38	3	55	0	142
39	3	55	-25	142
40	3	65	-75	142
41	3	45	0	142
42	4	55	0	142
43	2	90	0	142
44	3	70	-25	142
45	4	40	0	142
46	2	130	-1500	142
47	3	40	0	142
48	3	50	-25	142
49	4	60	0	142
50	3	60	-75	142
51	2	120	0	142
52	2	130	0	142
53	3	70	0	142
54	4	40	0	142
55	2	110	0	142
56	3	40	-50	142
57	1	100	0	142
58	2	90	0	142
59	3	60	0	142
60	4	45	0	142
61	1	80	-200	142
62	2	100	0	142
63	2	120	0	142
64	3	65	-25	142
65	2	120	-1750	142
66	3	55	0	142
67	2	110	0	142
68	3	80	-50	142
69	4	55	0	142
70	1	120	0	142
71	2	140	0	142
72	3	40	-25	142
73	2	130	0	142
74	3	60	-50	142
75	2	100	0	142
76	3	55	0	142
77	2	110	0	142
78	4	65	0	142
79	2	120	0	142
80	3	65	-25	142
81	2	120	0	142
82	3	40	-75	142
83	4	70	0	142
84	3	80	-50	142
85	2	140	0	142
86	3	65	-25	142
87	3	75	0	142
88	4	50	0	142
89	3	55	-25	142
90	2	110	0	142
91	4	70	-275	142
92	3	60	-25	142
93	3	70	-25	142
94	4	60	0	142
95	3	65	0	142
96	2	130	0	142
