"trial"	"deck"	"gain"	"loss"	"subjID"
1	3	50	0	103
2	3	60	0	103
3	3	40	-50	103
4	4	50	0	103
5	3	55	0	103
6	1	100	0	103
7	1	120	0	103
8	2	100	0	103
9	4	40	0	103
10	1	80	-150	103
11	2	80	0	103
12	2	110	0	103
13	3	55	-50	103
14	1	90	0	103
15	2	120	0	103
16	3	45	0	103
17	2	90	0	103
18	1	110	-300	103
19	2	100	0	103
20	1	100	0	103
21	1	80	-200	103
22	1	120	0	103
23	1	110	-250	103
24	1	90	-350	103
25	2	90	0	103
26	1	110	0	103
27	1	130	-350	103
28	1	90	0	103
29	1	100	-250	103
30	4	45	0	103
31	3	50	-50	103
32	3	45	0	103
33	2	120	0	103
34	2	110	-1250	103
35	1	120	-200	103
36	2	80	0	103
37	2	110	0	103
38	4	45	0	103
39	2	100	0	103
40	3	60	-50	103
41	2	90	0	103
42	3	40	-50	103
43	2	130	-1500	103
44	1	110	0	103
45	1	90	-300	103
46	2	120	0	103
47	2	130	0	103
48	2	110	0	103
49	3	55	0	103
50	2	90	0	103
51	2	100	0	103
52	1	130	-150	103
53	1	120	-250	103
54	2	120	0	103
55	4	55	0	103
56	4	60	0	103
57	4	40	0	103
58	4	55	0	103
59	3	55	-25	103
60	4	50	0	103
61	4	60	-250	103
62	4	55	0	103
63	4	40	0	103
64	4	60	0	103
65	4	40	0	103
66	4	45	0	103
67	4	55	0	103
68	4	65	0	103
69	4	70	0	103
70	4	50	0	103
71	4	70	-275	103
72	4	60	0	103
73	4	55	0	103
74	2	120	-1750	103
75	4	65	0	103
76	4	80	0	103
77	4	40	0	103
78	4	80	0	103
79	1	100	0	103
80	2	110	0	103
81	1	120	-250	103
82	3	65	-75	103
83	4	40	0	103
84	4	65	0	103
85	4	55	-300	103
86	4	60	0	103
87	4	65	0	103
88	4	75	0	103
89	4	60	0	103
90	4	65	0	103
91	4	75	-325	103
92	4	85	0	103
93	4	45	0	103
94	4	55	0	103
95	4	70	0	103
96	4	55	0	103
97	4	70	0	103
98	4	80	0	103
99	4	65	0	103
100	4	70	0	103
1	1	100	0	104
2	2	100	0	104
3	3	50	0	104
4	4	50	0	104
5	2	80	0	104
6	3	60	0	104
7	1	120	0	104
8	1	80	-150	104
9	3	40	-50	104
10	2	110	0	104
11	2	120	0	104
12	1	90	0	104
13	4	40	0	104
14	2	90	0	104
15	1	110	-300	104
16	1	100	0	104
17	2	100	0	104
18	4	45	0	104
19	3	55	0	104
20	2	90	0	104
21	2	120	0	104
22	2	110	-1250	104
23	2	80	0	104
24	2	110	0	104
25	2	100	0	104
26	2	90	0	104
27	1	80	-200	104
28	1	120	0	104
29	1	110	-250	104
30	2	130	-1500	104
31	4	45	0	104
32	4	55	0	104
33	4	60	0	104
34	1	90	-350	104
