"trial"	"deck"	"gain"	"loss"	"subjID"
1	3	50	0	105
2	3	60	0	105
3	3	40	-50	105
4	1	100	0	105
5	3	55	0	105
6	4	50	0	105
7	1	120	0	105
8	1	80	-150	105
9	3	55	-50	105
10	4	40	0	105
11	4	45	0	105
12	3	45	0	105
13	1	90	0	105
14	4	45	0	105
15	2	100	0	105
16	2	80	0	105
17	1	110	-300	105
18	2	110	0	105
19	2	120	0	105
20	4	55	0	105
21	3	50	-50	105
22	4	60	0	105
23	2	90	0	105
24	2	100	0	105
25	4	40	0	105
26	1	100	0	105
27	2	90	0	105
28	2	120	0	105
29	4	55	0	105
30	1	80	-200	105
31	2	110	-1250	105
32	4	50	0	105
33	4	60	-250	105
34	2	80	0	105
35	1	120	0	105
36	2	110	0	105
37	2	100	0	105
38	1	110	-250	105
39	2	90	0	105
40	4	55	0	105
41	4	40	0	105
42	2	130	-1500	105
43	4	60	0	105
44	4	40	0	105
45	2	120	0	105
46	1	90	-350	105
47	2	130	0	105
48	4	45	0	105
49	2	110	0	105
50	2	90	0	105
51	4	55	0	105
52	2	100	0	105
53	2	120	0	105
54	2	120	-1750	105
55	4	65	0	105
56	3	45	0	105
57	4	70	0	105
58	3	60	-50	105
59	2	110	0	105
60	2	140	0	105
61	4	50	0	105
62	4	70	-275	105
63	1	110	0	105
64	1	130	-350	105
65	2	130	0	105
66	2	100	0	105
67	4	60	0	105
68	2	110	0	105
69	1	90	0	105
70	1	100	-250	105
71	2	120	0	105
72	1	120	-200	105
73	2	120	0	105
74	4	55	0	105
75	4	65	0	105
76	3	40	-50	105
77	4	80	0	105
78	4	40	0	105
79	4	80	0	105
80	4	40	0	105
81	4	65	0	105
82	4	55	-300	105
83	2	140	0	105
84	2	110	0	105
85	1	110	0	105
86	4	60	0	105
87	3	55	0	105
88	1	90	-300	105
89	2	130	0	105
90	4	65	0	105
91	3	55	-25	105
92	4	75	0	105
93	2	140	-2000	105
94	4	60	0	105
95	2	120	0	105
96	4	65	0	105
97	4	75	-325	105
98	1	130	-150	105
99	2	110	0	105
100	2	130	0	105
1	2	100	0	111
2	3	50	0	111
3	2	80	0	111
4	1	100	0	111
5	1	120	0	111
6	4	50	0	111
7	3	60	0	111
8	3	40	-50	111
9	2	110	0	111
10	1	80	-150	111
11	4	40	0	111
12	3	55	0	111
13	3	55	-50	111
14	2	120	0	111
15	4	45	0	111
16	3	45	0	111
17	1	90	0	111
18	1	110	-300	111
19	1	100	0	111
20	2	90	0	111
21	2	100	0	111
22	3	50	-50	111
23	4	45	0	111
24	4	55	0	111
25	4	60	0	111
26	2	90	0	111
27	3	45	0	111
28	1	80	-200	111
29	1	120	0	111
30	4	40	0	111
31	2	120	0	111
32	2	110	-1250	111
33	3	60	-50	111
34	4	55	0	111
35	1	110	-250	111
36	1	90	-350	111
37	2	80	0	111
38	3	40	-50	111
39	3	55	0	111
40	2	110	0	111
41	2	100	0	111
42	4	50	0	111
43	1	110	0	111
44	4	60	-250	111
45	1	130	-350	111
46	2	90	0	111
47	3	55	-25	111
48	2	130	-1500	111
49	3	65	-75	111
50	4	55	0	111
51	4	40	0	111
52	1	90	0	111
53	2	120	0	111
54	2	130	0	111
55	1	100	-250	111
56	1	120	-200	111
57	2	110	0	111
58	3	45	0	111
59	4	60	0	111
60	2	90	0	111
61	3	70	-25	111
62	2	100	0	111
63	1	110	0	111
64	1	90	-300	111
65	4	40	0	111
66	2	120	0	111
67	3	40	0	111
68	1	130	-150	111
69	2	120	-1750	111
70	4	45	0	111
71	4	55	0	111
72	1	120	-250	111
73	2	110	0	111
74	4	65	0	111
75	4	70	0	111
76	1	100	0	111
77	4	50	0	111
78	2	140	0	111
79	4	70	-275	111
80	3	50	-25	111
81	2	130	0	111
82	1	120	-250	111
83	3	60	-75	111
84	4	60	0	111
85	2	100	0	111
86	2	110	0	111
87	1	140	-300	111
88	4	55	0	111
89	3	70	0	111
90	1	110	0	111
91	2	120	0	111
92	4	65	0	111
93	3	40	-50	111
94	2	120	0	111
95	1	110	-350	111
96	4	80	0	111
97	3	60	0	111
98	4	40	0	111
99	2	140	0	111
100	3	65	-25	111
1	2	100	0	133
2	3	50	0	133
3	3	60	0	133
4	3	40	-50	133
5	4	50	0	133
6	4	40	0	133
7	4	45	0	133
8	1	100	0	133
9	4	45	0	133
10	3	55	0	133
11	1	120	0	133
12	4	55	0	133
13	4	60	0	133
14	4	40	0	133
15	2	80	0	133
16	4	55	0	133
17	1	80	-150	133
18	2	110	0	133
19	2	120	0	133
20	2	90	0	133
21	4	50	0	133
22	1	90	0	133
23	1	110	-300	133
24	4	60	-250	133
25	4	55	0	133
26	4	40	0	133
27	4	60	0	133
28	2	100	0	133
29	2	90	0	133
30	2	120	0	133
31	2	110	-1250	133
32	3	55	-50	133
33	1	100	0	133
34	1	80	-200	133
35	2	80	0	133
36	4	40	0	133
37	4	45	0	133
38	4	55	0	133
39	2	110	0	133
40	2	100	0	133
41	3	45	0	133
42	3	50	-50	133
43	4	65	0	133
44	4	70	0	133
45	4	50	0	133
46	4	70	-275	133
47	3	45	0	133
48	3	60	-50	133
49	1	120	0	133
50	2	90	0	133
51	2	130	-1500	133
52	1	110	-250	133
53	1	90	-350	133
54	1	110	0	133
55	1	130	-350	133
56	1	90	0	133
57	1	100	-250	133
58	1	120	-200	133
59	2	120	0	133
60	2	130	0	133
61	4	60	0	133
62	4	55	0	133
63	4	65	0	133
64	4	80	0	133
65	4	40	0	133
66	4	80	0	133
67	4	40	0	133
68	3	40	-50	133
69	4	65	0	133
70	4	55	-300	133
71	1	110	0	133
72	1	90	-300	133
73	1	130	-150	133
74	1	120	-250	133
75	4	60	0	133
76	4	65	0	133
77	3	55	0	133
78	2	110	0	133
79	3	55	-25	133
80	3	65	-75	133
81	3	45	0	133
82	3	70	-25	133
83	3	40	0	133
84	3	50	-25	133
85	3	60	-75	133
86	2	90	0	133
87	2	100	0	133
88	2	120	0	133
89	2	120	-1750	133
90	3	70	0	133
91	3	40	-50	133
92	4	75	0	133
93	4	60	0	133
94	2	110	0	133
95	4	65	0	133
96	2	140	0	133
97	4	75	-325	133
98	2	130	0	133
99	3	60	0	133
100	3	65	-25	133
1	3	50	0	134
2	4	50	0	134
3	3	60	0	134
4	2	100	0	134
5	1	100	0	134
6	2	80	0	134
7	1	120	0	134
8	2	110	0	134
9	1	80	-150	134
10	3	40	-50	134
11	4	40	0	134
12	4	45	0	134
13	4	45	0	134
14	4	55	0	134
15	1	90	0	134
16	4	60	0	134
17	4	40	0	134
18	2	120	0	134
19	2	90	0	134
20	4	55	0	134
21	1	110	-300	134
22	2	100	0	134
23	3	55	0	134
24	3	55	-50	134
25	4	50	0	134
26	4	60	-250	134
27	1	100	0	134
28	1	80	-200	134
29	4	55	0	134
30	4	40	0	134
31	3	45	0	134
32	3	50	-50	134
33	4	60	0	134
34	4	40	0	134
35	1	120	0	134
36	1	110	-250	134
37	3	45	0	134
38	4	45	0	134
39	2	90	0	134
40	2	120	0	134
41	2	110	-1250	134
42	3	60	-50	134
43	2	80	0	134
44	2	110	0	134
45	4	55	0	134
46	4	65	0	134
47	3	40	-50	134
48	1	90	-350	134
49	4	70	0	134
50	4	50	0	134
51	4	70	-275	134
52	3	55	0	134
53	3	55	-25	134
54	2	100	0	134
55	2	90	0	134
56	4	60	0	134
57	2	130	-1500	134
58	3	65	-75	134
59	4	55	0	134
60	1	110	0	134
61	2	120	0	134
62	4	65	0	134
63	3	45	0	134
64	3	70	-25	134
65	2	130	0	134
66	2	110	0	134
67	2	90	0	134
68	4	80	0	134
69	3	40	0	134
70	1	130	-350	134
71	2	100	0	134
72	2	120	0	134
73	3	50	-25	134
74	4	40	0	134
75	4	80	0	134
76	2	120	-1750	134
77	4	40	0	134
78	3	60	-75	134
79	4	65	0	134
80	4	55	-300	134
81	3	70	0	134
82	3	40	-50	134
83	3	60	0	134
84	3	65	-25	134
85	4	60	0	134
86	4	65	0	134
87	4	75	0	134
88	4	60	0	134
89	4	65	0	134
90	1	90	0	134
91	1	100	-250	134
92	2	110	0	134
93	1	120	-200	134
94	2	140	0	134
95	4	75	-325	134
96	4	85	0	134
97	4	45	0	134
98	3	55	0	134
99	2	130	0	134
100	2	100	0	134
1	2	100	0	136
2	3	50	0	136
3	1	100	0	136
4	3	60	0	136
5	3	40	-50	136
6	4	50	0	136
7	1	120	0	136
8	1	80	-150	136
9	3	55	0	136
10	2	80	0	136
11	2	110	0	136
12	4	40	0	136
13	3	55	-50	136
14	1	90	0	136
15	4	45	0	136
16	4	45	0	136
17	3	45	0	136
18	4	55	0	136
19	1	110	-300	136
20	1	100	0	136
21	1	80	-200	136
22	3	50	-50	136
23	1	120	0	136
24	4	60	0	136
25	4	40	0	136
26	2	120	0	136
27	1	110	-250	136
28	1	90	-350	136
29	4	55	0	136
30	3	45	0	136
31	4	50	0	136
32	2	90	0	136
33	4	60	-250	136
34	1	110	0	136
35	3	60	-50	136
36	2	100	0	136
37	2	90	0	136
38	4	55	0	136
39	2	120	0	136
40	1	130	-350	136
41	2	110	-1250	136
42	1	90	0	136
43	1	100	-250	136
44	4	40	0	136
45	1	120	-200	136
46	3	40	-50	136
47	2	80	0	136
48	2	110	0	136
49	1	110	0	136
50	4	60	0	136
51	3	55	0	136
52	4	40	0	136
53	2	100	0	136
54	2	90	0	136
55	1	90	-300	136
56	1	130	-150	136
57	3	55	-25	136
58	4	45	0	136
59	1	120	-250	136
60	1	100	0	136
61	1	120	-250	136
62	3	65	-75	136
63	2	130	-1500	136
64	1	140	-300	136
65	1	110	0	136
66	1	110	-350	136
67	4	55	0	136
68	3	45	0	136
69	2	120	0	136
70	4	65	0	136
71	1	100	0	136
72	2	130	0	136
73	3	70	-25	136
74	4	70	0	136
75	4	50	0	136
76	1	120	-200	136
77	2	110	0	136
78	3	40	0	136
79	4	70	-275	136
80	1	130	-250	136
81	2	90	0	136
82	3	50	-25	136
83	2	100	0	136
84	4	60	0	136
85	1	110	-150	136
86	4	55	0	136
87	2	120	0	136
88	3	60	-75	136
89	1	140	-250	136
90	4	65	0	136
91	1	120	0	136
92	4	80	0	136
93	3	70	0	136
94	2	120	-1750	136
95	4	40	0	136
96	1	130	-350	136
97	1	120	-200	136
98	1	140	-250	136
99	1	130	-250	136
100	3	40	-50	136
1	2	100	0	138
2	3	50	0	138
3	1	100	0	138
4	4	50	0	138
5	1	120	0	138
6	4	40	0	138
7	2	80	0	138
8	2	110	0	138
9	1	80	-150	138
10	3	60	0	138
11	4	45	0	138
12	1	90	0	138
13	2	120	0	138
14	4	45	0	138
15	2	90	0	138
16	2	100	0	138
17	1	110	-300	138
18	3	40	-50	138
19	2	90	0	138
20	4	55	0	138
21	1	100	0	138
22	3	55	0	138
23	2	120	0	138
24	4	60	0	138
25	1	80	-200	138
26	2	110	-1250	138
27	3	55	-50	138
28	2	80	0	138
29	1	120	0	138
30	3	45	0	138
31	4	40	0	138
32	1	110	-250	138
33	3	50	-50	138
34	4	55	0	138
35	2	110	0	138
36	3	45	0	138
37	1	90	-350	138
38	3	60	-50	138
39	2	100	0	138
40	2	90	0	138
41	1	110	0	138
42	1	130	-350	138
43	3	40	-50	138
44	4	50	0	138
45	3	55	0	138
46	1	90	0	138
47	2	130	-1500	138
48	3	55	-25	138
49	2	120	0	138
50	1	100	-250	138
51	3	65	-75	138
52	2	130	0	138
53	1	120	-200	138
54	4	60	-250	138
55	2	110	0	138
56	3	45	0	138
57	1	110	0	138
58	4	55	0	138
59	2	90	0	138
60	3	70	-25	138
61	1	90	-300	138
62	2	100	0	138
63	3	40	0	138
64	4	40	0	138
65	2	120	0	138
66	3	50	-25	138
67	2	120	-1750	138
68	2	110	0	138
69	1	130	-150	138
70	2	140	0	138
71	3	60	-75	138
72	2	130	0	138
73	4	60	0	138
74	1	120	-250	138
75	2	100	0	138
76	1	100	0	138
77	3	70	0	138
78	4	40	0	138
79	2	110	0	138
80	1	120	-250	138
81	2	120	0	138
82	3	40	-50	138
83	4	45	0	138
84	2	120	0	138
85	3	60	0	138
86	2	140	0	138
87	4	55	0	138
88	2	110	0	138
89	3	65	-25	138
90	1	140	-300	138
91	2	130	0	138
92	3	55	0	138
93	4	65	0	138
94	2	140	-2000	138
95	3	80	-50	138
96	2	120	0	138
97	4	70	0	138
98	2	110	0	138
99	3	40	-25	138
100	2	130	0	138
1	1	100	0	147
2	2	100	0	147
3	3	50	0	147
4	4	50	0	147
5	2	80	0	147
6	2	110	0	147
7	3	60	0	147
8	3	40	-50	147
9	2	120	0	147
10	2	90	0	147
11	2	100	0	147
12	2	90	0	147
13	2	120	0	147
14	2	110	-1250	147
15	2	80	0	147
16	2	110	0	147
17	2	100	0	147
18	2	90	0	147
19	2	130	-1500	147
20	2	120	0	147
21	2	130	0	147
22	2	110	0	147
23	2	90	0	147
24	1	120	0	147
25	1	80	-150	147
26	1	90	0	147
27	1	110	-300	147
28	3	55	0	147
29	3	55	-50	147
30	4	40	0	147
31	4	45	0	147
32	4	45	0	147
33	4	55	0	147
34	4	60	0	147
35	4	40	0	147
36	4	55	0	147
37	4	50	0	147
38	4	60	-250	147
39	3	45	0	147
40	3	50	-50	147
41	3	45	0	147
42	2	100	0	147
43	2	120	0	147
44	2	120	-1750	147
45	3	60	-50	147
46	1	100	0	147
47	1	80	-200	147
48	4	55	0	147
49	4	40	0	147
50	4	60	0	147
51	1	120	0	147
52	2	110	0	147
53	3	40	-50	147
54	4	40	0	147
55	3	55	0	147
56	2	140	0	147
