"Subj","Study"
"1","Steingroever2011"
"2","Steingroever2011"
"3","Steingroever2011"
"4","Steingroever2011"
"5","Steingroever2011"
"6","Steingroever2011"
"7","Steingroever2011"
"8","Steingroever2011"
"9","Steingroever2011"
"10","Steingroever2011"
"11","Steingroever2011"
"12","Steingroever2011"
"13","Steingroever2011"
"14","Steingroever2011"
"15","Steingroever2011"
"16","Steingroever2011"
"17","Steingroever2011"
"18","Steingroever2011"
"19","Steingroever2011"
"20","Steingroever2011"
"21","Steingroever2011"
"22","Steingroever2011"
"23","Steingroever2011"
"24","Steingroever2011"
"25","Steingroever2011"
"26","Steingroever2011"
"27","Steingroever2011"
"28","Steingroever2011"
"29","Steingroever2011"
"30","Steingroever2011"
"31","Steingroever2011"
"32","Steingroever2011"
"33","Steingroever2011"
"34","Steingroever2011"
"35","Steingroever2011"
"36","Steingroever2011"
"37","Steingroever2011"
"38","Steingroever2011"
"39","Steingroever2011"
"40","Steingroever2011"
"41","Steingroever2011"
"42","Steingroever2011"
"43","Steingroever2011"
"44","Steingroever2011"
"45","Steingroever2011"
"46","Steingroever2011"
"47","Steingroever2011"
"48","Steingroever2011"
"49","Steingroever2011"
"50","Steingroever2011"
"51","Steingroever2011"
"52","Steingroever2011"
"53","Steingroever2011"
"54","Steingroever2011"
"55","Steingroever2011"
"56","Steingroever2011"
"57","Steingroever2011"
"58","Wetzels"
"59","Wetzels"
"60","Wetzels"
"61","Wetzels"
"62","Wetzels"
"63","Wetzels"
"64","Wetzels"
"65","Wetzels"
"66","Wetzels"
"67","Wetzels"
"68","Wetzels"
"69","Wetzels"
"70","Wetzels"
"71","Wetzels"
"72","Wetzels"
"73","Wetzels"
"74","Wetzels"
"75","Wetzels"
"76","Wetzels"
"77","Wetzels"
"78","Wetzels"
"79","Wetzels"
"80","Wetzels"
"81","Wetzels"
"82","Wetzels"
"83","Wetzels"
"84","Wetzels"
"85","Wetzels"
"86","Wetzels"
"87","Wetzels"
"88","Wetzels"
"89","Wetzels"
"90","Wetzels"
"91","Wetzels"
"92","Wetzels"
"93","Wetzels"
"94","Wetzels"
"95","Wetzels"
"96","Wetzels"
"97","Wetzels"
"98","Wetzels"
