"Wins_1","Wins_2","Wins_3","Wins_4","Wins_5","Wins_6","Wins_7","Wins_8","Wins_9","Wins_10","Wins_11","Wins_12","Wins_13","Wins_14","Wins_15","Wins_16","Wins_17","Wins_18","Wins_19","Wins_20","Wins_21","Wins_22","Wins_23","Wins_24","Wins_25","Wins_26","Wins_27","Wins_28","Wins_29","Wins_30","Wins_31","Wins_32","Wins_33","Wins_34","Wins_35","Wins_36","Wins_37","Wins_38","Wins_39","Wins_40","Wins_41","Wins_42","Wins_43","Wins_44","Wins_45","Wins_46","Wins_47","Wins_48","Wins_49","Wins_50","Wins_51","Wins_52","Wins_53","Wins_54","Wins_55","Wins_56","Wins_57","Wins_58","Wins_59","Wins_60","Wins_61","Wins_62","Wins_63","Wins_64","Wins_65","Wins_66","Wins_67","Wins_68","Wins_69","Wins_70","Wins_71","Wins_72","Wins_73","Wins_74","Wins_75","Wins_76","Wins_77","Wins_78","Wins_79","Wins_80","Wins_81","Wins_82","Wins_83","Wins_84","Wins_85","Wins_86","Wins_87","Wins_88","Wins_89","Wins_90","Wins_91","Wins_92","Wins_93","Wins_94","Wins_95","Wins_96","Wins_97","Wins_98","Wins_99","Wins_100","Wins_101","Wins_102","Wins_103","Wins_104","Wins_105","Wins_106","Wins_107","Wins_108","Wins_109","Wins_110","Wins_111","Wins_112","Wins_113","Wins_114","Wins_115","Wins_116","Wins_117","Wins_118","Wins_119","Wins_120","Wins_121","Wins_122","Wins_123","Wins_124","Wins_125","Wins_126","Wins_127","Wins_128","Wins_129","Wins_130","Wins_131","Wins_132","Wins_133","Wins_134","Wins_135","Wins_136","Wins_137","Wins_138","Wins_139","Wins_140","Wins_141","Wins_142","Wins_143","Wins_144","Wins_145","Wins_146","Wins_147","Wins_148","Wins_149","Wins_150"
"Subj_1",50,100,100,100,50,100,50,100,50,50,100,100,100,50,50,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,100,50,50,100,50,100,100,100,50,50,100,50,100,100,100,100,100,50,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,50,100,100,50,50,50,100,100,100,50,100,50,50,100,50,50,50,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,100,50,50,100,100,100,50,100,100,50,100,100,50,50,100,50,50,100,50,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100
"Subj_2",100,100,50,50,50,100,50,100,100,100,100,100,100,100,100,50,100,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,100,100,100,50,50,100,50,50,50,100,100,100,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,50,50,50,50,50,50,100,100,50,50,100,100,50,50,50,50,50,50,100,50,50,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,50,50,50,100,100,100,100,100,50,50,50,50,50,50,100,100,100,100,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,50,50,100
"Subj_3",100,50,100,50,100,100,50,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Subj_4",50,50,50,50,100,50,50,50,50,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,50,50,50,100,100,50,50,100,50,100,50,50,100,100,50,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Subj_5",50,50,50,50,50,50,50,50,50,50,50,100,100,50,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,50,50,50,50,50,100,50,50,50,100,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Subj_6",50,50,100,100,100,100,100,100,100,100,50,50,100,100,100,100,100,100,100,100,100,100,100,50,50,50,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,50,50,100,100,100,50,50,50,50,100,100,100,50,50,50,50,50,100,50,50,100,100,50,100,100,50,50,100,100,100,50,50,100,50,100,100,100,100,50,50,50,100,100,100,100,100,100,50,50,50,50,50,50,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,100,100,100,100,50,50,50,100,100,100,100
"Subj_7",50,50,100,100,50,50,100,100,50,50,50,50,50,100,100,100,50,50,100,50,50,100,100,50,50,100,50,100,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Subj_8",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Subj_9",100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,100,100,50,50,50,100,50,100,50,50,50,100,100,100,100,100,50,100,100,50,50,50,50,100,100,50,50,100,100,50,50,100,100,50,50,100,100,50,50,100,100,50,50,100,100,50,50,100,100,50,50,100,100,50,50,100,100,50,50,100,100,50,50,100,100,50,100,50,50,100,100,100,100,50,50,50,100,100,50,50,50,100,50,50,50,100,100,100,50,100,100,100,100,50,50,50,50,50,100,100,100,50,50,50,50,50,50,100,50,50,50,100,100,50,50,50
"Subj_10",50,50,50,50,50,50,100,100,50,100,100,100,100,100,100,100,100,100,50,50,50,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
